City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bulayevo,54.9056,70.4439,57.81,68,100,13.44,KZ,1693708419
1,bethel,41.3712,-73.414,68.65,80,0,5.75,US,1693708401
2,saint-francois,46.4154,3.9054,58.44,88,0,3.44,FR,1693708420
3,port alfred,-33.5906,26.891,59.85,69,100,6.4,ZA,1693708420
4,papatowai,-46.5619,169.4708,48.18,87,100,4.54,NZ,1693708420
5,mbandaka,0.0487,18.2603,71.26,94,93,0.65,CD,1693708421
6,puerto natales,-51.7236,-72.4875,29.5,93,85,4.09,CL,1693708422
7,moapa valley,36.5805,-114.4703,87.69,44,7,9.46,US,1693708422
8,stettler,52.3168,-112.7186,64.15,52,100,4.61,CA,1693708422
9,aasiaat,68.7098,-52.8699,33.78,80,98,14.83,GL,1693708422
10,taupo,-38.6833,176.0833,57.81,49,4,3.91,NZ,1693708423
11,afaahiti,-17.75,-149.2833,73.27,89,100,19.13,PF,1693708423
12,port-aux-francais,-49.35,70.2167,38.35,92,98,26.6,TF,1693708424
13,sanya,18.2431,109.505,87.96,62,0,6.71,CN,1693708424
14,mount isa,-20.7333,139.5,82.17,15,22,12.66,AU,1693708424
15,waitangi,-43.9535,-176.5597,51.82,74,39,1.01,NZ,1693708424
16,puerto ayora,-0.7393,-90.3518,76.55,94,88,8.01,EC,1693708425
17,grytviken,-54.2811,-36.5092,34.0,99,95,10.09,GS,1693708425
18,hamilton,39.1834,-84.5333,79.97,78,20,5.99,US,1693708426
19,gubkinskiy,64.434,76.5026,49.66,77,43,20.58,RU,1693708426
20,makinsk,52.6292,70.4169,51.64,89,95,6.98,KZ,1693708426
21,new norfolk,-42.7826,147.0587,60.93,33,0,2.93,AU,1693708427
22,ola,59.5833,151.2833,48.15,85,100,14.72,RU,1693708427
23,nar'yan-mar,67.6713,53.087,61.18,91,70,3.47,RU,1693708428
24,punta arenas,-53.15,-70.9167,33.08,72,49,13.33,CL,1693708428
25,lata,40.1629,-8.3327,63.91,89,94,2.86,PT,1693708428
26,vorgashor,67.5833,63.95,51.87,80,43,3.15,RU,1693708429
27,black river,18.0264,-77.8487,81.48,80,8,2.37,JM,1693708429
28,banda aceh,5.5577,95.3222,82.56,71,100,11.61,ID,1693708429
29,wailua homesteads,22.0669,-159.378,86.43,77,75,17.27,US,1693708430
30,talnakh,69.4865,88.3972,45.21,68,54,11.65,RU,1693708398
31,uliastay,47.7417,96.8444,65.57,23,100,0.54,MN,1693708430
32,avarua,-21.2078,-159.775,75.25,53,75,10.36,CK,1693708431
33,dudinka,69.4058,86.1778,45.63,79,100,17.67,RU,1693708337
34,west island,-12.1568,96.8225,78.78,73,40,12.66,CC,1693708431
35,adamstown,-25.066,-130.1015,64.31,86,100,6.98,PN,1693708431
36,shingu,33.7333,135.9833,85.26,69,1,9.84,JP,1693708432
37,port mathurin,-19.6833,63.4167,72.66,72,11,22.91,MU,1693708432
38,yellowknife,62.456,-114.3525,58.41,84,40,10.36,CA,1693708203
39,olonkinbyen,70.9221,-8.7187,43.43,98,100,13.2,SJ,1693708433
40,el colomo,19.05,-104.25,85.98,86,89,2.95,MX,1693708433
41,edinburgh of the seven seas,-37.0676,-12.3116,50.61,59,100,7.25,SH,1693708433
42,kokopo,-4.352,152.2633,85.41,61,55,18.23,PG,1693708434
43,lompoc,34.6391,-120.4579,69.78,82,100,13.0,US,1693708434
44,shenjiamen,29.9576,122.298,81.27,78,78,6.6,CN,1693708434
45,kalmunai,7.4167,81.8167,79.29,82,99,12.37,LK,1693708435
46,choyr,46.3611,108.3611,69.39,46,1,1.59,MN,1693708435
47,fukuecho,32.6881,128.8419,86.36,74,20,6.91,JP,1693708436
48,lazaro cardenas,17.9583,-102.2,82.18,87,60,3.65,MX,1693708436
49,severo-yeniseyskiy,60.3725,93.0408,57.43,49,37,2.59,RU,1693708437
50,namibe,-15.1961,12.1522,61.45,90,93,4.41,AO,1693708437
51,enewetak,11.3474,162.3373,84.11,70,100,7.4,MH,1693708437
52,villa huidobro,-34.8383,-64.5869,47.25,58,100,6.24,AR,1693708438
53,margate,51.3813,1.3862,63.7,90,53,1.99,GB,1693708438
54,ust-nera,64.5667,143.2,44.02,53,43,0.96,RU,1693708338
55,saipan,15.1355,145.701,88.5,79,20,10.36,MP,1693708438
56,jingmen,31.0336,112.2047,83.75,50,100,7.2,CN,1693708439
57,puerto armuelles,8.2833,-82.8667,83.08,76,100,1.01,PA,1693708358
